Q3: Sorting and Merging Subsequences
Distribution       : Uniform
Total Elements     : 10^9 = 1000000000
Subsequences       : 1000
812        812000000       812999999       812499584.77   
813        813000000       813999999       813499668.68   
814        814000002       814999999       814500257.96   
815        815000001       815999999       815499855.04   
816        816000000       816999999       816500611.07   
817        817000002       817999999       817500060.34   
818        818000001       818999999       818499817.36   
819        819000000       819999998       819499777.38   
820        820000000       820999999       820499561.35   
821        821000000       821999999       821499905.37   
822        822000000       822999999       822500649.06   
823        823000000       823999999       823500654.03   
824        824000001       824999997       824500089.73   
825        825000001       825999998       825500523.91   
826        826000000       826999999       826500166.76   
827        827000000       827999998       827499851.23   
828        828000000       828999999       828500504.40   
829        829000000       829999999       829499959.53   
830        830000000       830999998       830500290.36   
831        831000000       831999999       831500030.46   
832        832000001       832999999       832499935.73   
833        833000001       833999999       833500075.95   
834        834000000       834999997       834500222.89   
835        835000001       835999999       835499931.99   
836        836000000       836999996       836499718.16   
837        837000003       837999999       837499754.24   
838        838000001       838999996       838500442.33   
839        839000001       839999999       839499840.33   
840        840000001       840999999       840500016.24   
841        841000000       841999998       841500026.47   
842        842000000       842999999       842499738.02   
843        843000002       843999999       843500158.81   
844        844000000       844999999       844500051.02   
845        845000001       845999999       845499523.86   
846        846000002       846999999       846499992.08   
847        847000000       847999996       847500249.05   
848        848000000       848999997       848499640.29   
849        849000001       849999994       849499905.33   
850        850000002       850999998       850499840.61   
851        851000002       851999999       851500430.51   
852        852000000       852999999       852500462.49   
853        853000000       853999998       853499567.70   
854        854000000       854999999       854500181.09   
855        855000001       855999999       855499893.72   
856        856000000       856999999       856499881.14   
857        857000001       857999999       857499928.85   
858        858000000       858999999       858500425.01   
859        859000000       859999999       859499764.50   
860        860000001       860999999       860500395.38   
861        861000000       861999999       861500044.27   
862        862000003       862999999       862499991.83   
863        863000002       863999999       863500266.86   
864        864000000       864999999       864499930.78   
865        865000000       865999999       865500193.89   
866        866000000       866999999       866500578.94   
867        867000000       867999999       867499829.94   
868        868000000       868999998       868499762.03   
869        869000001       869999999       869499961.30   
870        870000001       870999998       870500163.36   
871        871000000       871999999       871499725.75   
872        872000000       872999998       872500158.33   
873        873000001       873999998       873499682.64   
874        874000000       874999997       874499574.61   
875        875000002       875999997       875500193.69   
876        876000002       876999999       876499567.79   
877        877000000       877999999       877499810.01   
878        878000001       878999998       878500454.15   
879        879000001       879999999       879499518.34   
880        880000000       880999997       880500108.47   
881        881000003       881999999       881500197.52   
882        882000000       882999998       882499688.67   
883        883000002       883999998       883499936.69   
884        884000000       884999999       884500055.99   
885        885000001       885999999       885499908.92   
886        886000003       886999998       886499709.06   
887        887000001       887999999       887499977.16   
888        888000001       888999999       888499623.28   
889        889000002       889999997       889499889.30   
890        890000000       890999999       890500097.68   
891        891000000       891999999       891500111.29   
892        892000000       892999999       892499983.61   
893        893000000       893999999       893499986.83   
894        894000001       894999998       894499766.78   
895        895000002       895999999       895500278.83   
896        896000000       896999998       896499872.98   
897        897000000       897999999       897500328.82   
898        898000000       898999999       898500276.14   
899        899000000       899999999       899500402.12   
900        900000000       900999999       900499897.94   
901        901000000       901999998       901499658.40   
902        902000000       902999999       902500270.52   
903        903000000       903999998       903499811.61   
904        904000002       904999999       904499951.69   
905        905000000       905999998       905500703.75   
906        906000001       906999998       906499647.85   
907        907000002       907999999       907500958.85   
908        908000002       908999997       908499643.19   
909        909000000       909999999       909500025.25   
910        910000000       910999999       910499595.10   
911        911000000       911999998       911499822.46   
912        912000001       912999999       912500490.52   
913        913000003       913999999       913499845.57   
914        914000002       914999999       914499956.64   
915        915000000       915999998       915500159.62   
916        916000000       916999998       916500212.64   
917        917000000       917999998       917499785.02   
918        918000000       918999999       918500134.93   
919        919000000       919999998       919500090.26   
920        920000000       920999994       920499769.28   
921        921000000       921999999       921500402.25   
922        922000001       922999998       922500384.13   
923        923000000       923999999       923500614.18   
924        924000000       924999996       924499738.70   
925        925000001       925999998       925499474.81   
926        926000000       926999997       926500146.86   
927        927000000       927999999       927500007.32   
928        928000000       928999999       928500303.99   
929        929000001       929999998       929499963.12   
930        930000000       930999998       930500127.26   
931        931000000       931999998       931500037.45   
932        932000002       932999999       932500269.41   
933        933000000       933999998       933499943.56   
934        934000000       934999996       934500300.61   
935        935000000       935999998       935500023.72   
936        936000000       936999999       936499928.83   
937        937000001       937999999       937500639.85   
938        938000003       938999998       938499898.14   
939        939000002       939999999       939499888.12   
940        940000000       940999998       940500033.00   
941        941000001       941999998       941500201.30   
942        942000000       942999998       942499487.41   
943        943000001       943999998       943499670.57   
944        944000001       944999999       944499903.61   
945        945000001       945999998       945499967.59   
946        946000001       946999999       946499960.84   
947        947000003       947999998       947500344.93   
948        948000000       948999999       948499459.25   
949        949000001       949999999       949499985.18   
950        950000000       950999998       950499655.34   
951        951000000       951999998       951499934.24   
952        952000000       952999998       952500396.50   
953        953000000       953999999       953499769.29   
954        954000002       954999999       954500317.60   
955        955000001       955999998       955499878.59   
956        956000000       956999997       956500073.66   
957        957000000       957999998       957499660.14   
958        958000004       958999998       958499918.06   
959        959000000       959999999       959500320.16   
960        960000000       960999999       960500055.52   
961        961000000       961999994       961499294.21   
962        962000000       962999997       962499768.57   
963        963000000       963999998       963500387.64   
964        964000001       964999998       964499652.60   
965        965000001       965999998       965499997.52   
966        966000002       966999999       966499539.64   
967        967000000       967999999       967499442.72   
968        968000002       968999999       968500284.02   
969        969000000       969999999       969499762.00   
970        970000000       970999999       970500172.19   
971        971000000       971999999       971500097.08   
972        972000000       972999999       972500302.14   
973        973000002       973999997       973500105.60   
974        974000002       974999999       974499524.47   
975        975000001       975999999       975500154.69   
976        976000000       976999998       976500035.67   
977        977000000       977999998       977499937.88   
978        978000000       978999999       978500089.30   
979        979000001       979999999       979500458.78   
980        980000000       980999999       980499802.03   
981        981000000       981999998       981500496.24   
982        982000000       982999999       982499896.10   
983        983000000       983999999       983500258.44   
984        984000000       984999996       984499810.61   
985        985000002       985999998       985500128.49   
986        986000000       986999999       986500023.75   
987        987000000       987999999       987500185.51   
988        988000000       988999996       988499816.99   
989        989000000       989999999       989499951.97   
990        990000000       990999998       990500521.08   
991        991000001       991999999       991499700.04   
992        992000000       992999999       992500125.19   
993        993000002       993999999       993500418.37   
994        994000000       994999999       994499839.30   
995        995000000       995999999       995499559.46   
996        996000000       996999997       996500122.73   
997        997000002       997999999       997500015.93   
998        998000000       998999998       998499530.04   
999        999000004       999999998       999499730.10   
